sede_id,sede_desc_castellano,pais_castellano,region_geografica,pais_iso_3,redes_sociales,Estado
CROMA,Consulado  General  en  Roma,REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL,ITA,,Activo
ESENE,Embajada  en  Senegal,REPÚBLICA  DE  SENEGAL,ÁFRICA  SUBSAHARIANA,SEN,,Activo
ECHIN,Embajada  en  China,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,,Activo
ENICA,Embajada  en  Nicaragua,REPÚBLICA  DE  NICARAGUA,AMÉRICA  CENTRAL  Y  CARIBE,NIC,,Activo
EPNMA,Embajada  en  Panamá,REPÚBLICA  DE  PANAMÁ,AMÉRICA  CENTRAL  Y  CARIBE,PAN,,Activo
ETURQ,Embajada  en  Türkiye,República  de  Türkiye,EUROPA  OCCIDENTAL,TUR,,Activo
EISIA,Embajada  en  Indonesia,REPÚBLICA  DE  INDONESIA,ASIA,IDN,,Activo
EHOND,Embajada  en  Honduras,REPÚBLICA  DE  HONDURAS,AMÉRICA  CENTRAL  Y  CARIBE,HND,,Activo
CSLTO,Consulado  en  Salto,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,,Activo
EBOLV,Embajada  en  Bolivia,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,,Activo
EQATR,Embajada  en  Qatar,ESTADO  DE  QATAR,ASIA,QAT,,Activo
CASUN,Consulado  General  en  Asunción,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,,Activo
CATLA,Consulado  General  en  Atlanta,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,,Activo
CBEIJ,Sección  Consular  en  Beijing,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,,Activo
CCONC,Consulado  en  Concepción,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,,Activo
